image_name,class
oak1.jpg,oak
oak2.jpg,oak
oak3.jpg,oak
oak4.jpg,oak
oak5.jpg,oak
oak6.jpg,oak
oak7.jpg,oak
oak8.jpg,oak
oak9.jpg,oak
oak10.jpg,oak
oak11.jpg,oak
oak12.jpg,oak
oak13.jpg,oak
oak14.jpg,oak
oak15.jpg,oak
oak16.jpg,oak
oak17.jpg,oak
oak18.jpg,oak
oak19.jpg,oak
oak20.jpg,oak
oak21.jpg,oak
oak22.jpg,oak
oak23.jpg,oak
oak24.jpg,oak
oak25.jpg,oak
oak26.jpg,oak
oak27.jpg,oak
oak28.jpg,oak
oak29.jpg,oak
oak30.jpg,oak
oak31.jpg,oak
oak32.jpg,oak
oak33.jpg,oak
oak34.jpg,oak
oak35.jpg,oak
oak36.jpg,oak
oak37.jpg,oak
oak38.jpg,oak
oak39.jpg,oak
oak40.jpg,oak
oak41.jpg,oak
oak42.jpg,oak
oak43.jpg,oak
oak44.jpg,oak
oak45.jpg,oak
oak46.jpg,oak
oak47.jpg,oak
oak48.jpg,oak
oak49.jpg,oak
oak50.jpg,oak
oak51.jpg,oak
oak52.jpg,oak
oak53.jpg,oak
oak54.jpg,oak
oak55.jpg,oak
oak56.jpg,oak
oak57.jpg,oak
oak58.jpg,oak
oak59.jpg,oak
oak60.jpg,oak
oak61.jpg,oak
oak62.jpg,oak
oak63.jpg,oak
oak64.jpg,oak
oak65.jpg,oak
oak66.jpg,oak
oak67.jpg,oak
oak68.jpg,oak
oak69.jpg,oak
oak70.jpg,oak
oak71.jpg,oak
oak72.jpg,oak
oak73.jpg,oak
oak74.jpg,oak
oak75.jpg,oak
oak76.jpg,oak
oak77.jpg,oak
oak78.jpg,oak
oak79.jpg,oak
oak80.jpg,oak
oak81.jpg,oak
oak82.jpg,oak
oak83.jpg,oak
oak84.jpg,oak
oak85.jpg,oak
oak86.jpg,oak
oak87.jpg,oak
oak88.jpg,oak
oak89.jpg,oak
oak90.jpg,oak
oak91.jpg,oak
oak92.jpg,oak
oak93.jpg,oak
oak94.jpg,oak
oak95.jpg,oak
oak96.jpg,oak
oak97.jpg,oak
oak98.jpg,oak
oak99.jpg,oak
oak100.jpg,oak
oak101.jpg,oak
oak102.jpg,oak
oak103.jpg,oak
oak104.jpg,oak
oak105.jpg,oak
oak106.jpg,oak
oak107.jpg,oak
oak108.jpg,oak
oak109.jpg,oak
oak110.jpg,oak
oak111.jpg,oak
oak112.jpg,oak
oak113.jpg,oak
oak114.jpg,oak
oak115.jpg,oak
oak116.jpg,oak
oak117.jpg,oak
oak118.jpg,oak
oak119.jpg,oak
oak120.jpg,oak
oak121.jpg,oak
oak122.jpg,oak
oak123.jpg,oak
oak124.jpg,oak
oak125.jpg,oak
oak126.jpg,oak
oak127.jpg,oak
oak128.jpg,oak
oak129.jpg,oak
oak130.jpg,oak
